Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,162900,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,234600,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,193600,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,155200,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,207200,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,233800,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,286700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,226600,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,221900,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,162700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,217900,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,168600,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,178200,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,152300,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,193800,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,198600,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,149800,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,149600,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,153200,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,150200,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,141500,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,213900,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,185600,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,263800,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,174500,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,167300,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,200800,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,176300,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,192500,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,164200,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,152200,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,147200,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,148100,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,146000,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,236800,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,217200,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,228000,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,212500,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,198700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,170500,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,274700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,183700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,153100,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,154100,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,147500,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,195600,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,150200,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,145300,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,145100,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,178000,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,184400,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,153300,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,297700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,156700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,153600,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,205900,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,166200,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,168100,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,165500,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,144900,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,165700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,159300,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,151300,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,142900,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,143700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,166800,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,148600,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,247700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,172000,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,180700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,155700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,154400,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,171300,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,208400,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,152700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,147600,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,189600,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,188000,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,148400,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,145700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,154500,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,147600,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,161900,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,252900,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,144100,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,205500,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,218900,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,155200,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,168900,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,180500,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,182400,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,145300,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,159500,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,147700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,157900,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,148600,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,141500,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,173400,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,148700,200.0,-1.0,-1.0,201,1.0,41.0
0.0,true,153400,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,160400,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,182800,215.0,-1.0,-1.0,240,1.0,41.0
1.0,true,282000,220.0,-1.0,-1.0,439,1.0,41.0
1.0,true,328400,260.0,-1.0,-1.0,441,1.0,41.0
1.0,true,193400,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,479300,227.0,-1.0,-1.0,402,1.0,41.0
1.0,true,585100,256.0,-1.0,-1.0,579,1.0,41.0
1.0,true,553800,308.0,-1.0,-1.0,694,1.0,41.0
1.0,true,375200,228.0,-1.0,-1.0,562,1.0,41.0
1.0,true,175000,213.0,-1.0,-1.0,240,1.0,41.0
1.0,true,418200,276.0,-1.0,-1.0,667,1.0,41.0
1.0,true,418500,231.0,-1.0,-1.0,562,1.0,41.0
1.0,true,415600,254.0,-1.0,-1.0,500,1.0,41.0
1.0,true,334700,236.0,-1.0,-1.0,361,1.0,41.0
1.0,true,248800,234.0,-1.0,-1.0,337,1.0,41.0
1.0,true,240400,210.0,-1.0,-1.0,320,1.0,41.0
1.0,true,306200,219.0,-1.0,-1.0,402,1.0,41.0
1.0,true,430700,239.0,-1.0,-1.0,601,1.0,41.0
1.0,true,184300,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,336600,247.0,-1.0,-1.0,523,1.0,41.0
1.0,true,453700,290.0,-1.0,-1.0,660,1.0,41.0
1.0,true,336100,232.0,-1.0,-1.0,402,1.0,41.0
1.0,true,151400,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,150200,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,249000,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,505300,248.0,-1.0,-1.0,642,1.0,41.0
1.0,true,550400,247.0,-1.0,-1.0,451,1.0,41.0
1.0,true,287800,260.0,-1.0,-1.0,377,1.0,41.0
1.0,true,295100,235.0,-1.0,-1.0,402,1.0,41.0
1.0,true,287000,232.0,-1.0,-1.0,441,1.0,41.0
1.0,true,537600,250.0,-1.0,-1.0,804,1.0,41.0
1.0,true,318600,231.0,-1.0,-1.0,402,1.0,41.0
1.0,true,499500,289.0,-1.0,-1.0,777,1.0,41.0
1.0,true,315400,235.0,-1.0,-1.0,402,1.0,41.0
1.0,true,145300,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,13884900,240.0,-1.0,-1.0,361,1.0,41.0
1.0,true,177100,227.0,-1.0,-1.0,281,1.0,41.0
1.0,true,310100,232.0,-1.0,-1.0,601,1.0,41.0
1.0,true,173100,257.0,-1.0,-1.0,322,1.0,41.0
1.0,true,246100,258.0,-1.0,-1.0,482,1.0,41.0
1.0,true,372900,255.0,-1.0,-1.0,603,1.0,41.0
1.0,true,693900,347.0,-1.0,-1.0,1163,1.0,41.0
1.0,true,159700,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,149000,239.0,-1.0,-1.0,281,1.0,41.0
1.0,true,169000,233.0,-1.0,-1.0,336,1.0,41.0
1.0,true,382000,323.0,-1.0,-1.0,656,1.0,41.0
1.0,true,197100,225.0,-1.0,-1.0,359,1.0,41.0
1.0,true,201700,237.0,-1.0,-1.0,340,1.0,41.0
1.0,true,147000,221.0,-1.0,-1.0,240,1.0,41.0
1.0,true,212900,238.0,-1.0,-1.0,402,1.0,41.0
1.0,true,184200,233.0,-1.0,-1.0,336,1.0,41.0
1.0,true,279100,242.0,-1.0,-1.0,601,1.0,41.0
1.0,true,191800,224.0,-1.0,-1.0,400,1.0,41.0
1.0,true,107700,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,214800,222.0,-1.0,-1.0,361,1.0,41.0
1.0,true,229500,212.0,-1.0,-1.0,482,1.0,41.0
1.0,true,128100,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,315200,252.0,-1.0,-1.0,683,1.0,41.0
1.0,true,124900,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,337000,250.0,-1.0,-1.0,560,1.0,41.0
1.0,true,425600,222.0,-1.0,-1.0,402,1.0,41.0
1.0,true,336100,245.0,-1.0,-1.0,603,1.0,41.0
1.0,true,380800,297.0,-1.0,-1.0,769,1.0,41.0
1.0,true,205700,239.0,-1.0,-1.0,402,1.0,41.0
1.0,true,143200,222.0,-1.0,-1.0,240,1.0,41.0
1.0,true,360600,308.0,-1.0,-1.0,720,1.0,41.0
1.0,true,298900,290.0,-1.0,-1.0,642,1.0,41.0
1.0,true,298000,317.0,-1.0,-1.0,665,1.0,41.0
1.0,true,329600,278.0,-1.0,-1.0,612,1.0,41.0
1.0,true,137800,209.0,-1.0,-1.0,281,1.0,41.0
1.0,true,188300,223.0,-1.0,-1.0,400,1.0,41.0
1.0,true,126100,225.0,-1.0,-1.0,240,1.0,41.0
1.0,true,130600,230.0,-1.0,-1.0,240,1.0,41.0
1.0,true,308600,228.0,-1.0,-1.0,402,1.0,41.0
1.0,true,372300,251.0,-1.0,-1.0,640,1.0,41.0
1.0,true,182100,238.0,-1.0,-1.0,341,1.0,41.0
1.0,true,199600,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,453100,231.0,-1.0,-1.0,638,1.0,41.0
1.0,true,131600,207.0,-1.0,-1.0,240,1.0,41.0
1.0,true,396800,251.0,-1.0,-1.0,366,1.0,41.0
1.0,true,361500,317.0,-1.0,-1.0,642,1.0,41.0
1.0,true,122100,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,195200,233.0,-1.0,-1.0,361,1.0,41.0
1.0,true,194600,203.0,-1.0,-1.0,402,1.0,41.0
1.0,true,254900,262.0,-1.0,-1.0,523,1.0,41.0
1.0,true,235000,228.0,-1.0,-1.0,482,1.0,41.0
1.0,true,119600,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,194900,223.0,-1.0,-1.0,361,1.0,41.0
1.0,true,110900,200.0,-1.0,-1.0,201,1.0,41.0
1.0,true,200600,252.0,-1.0,-1.0,377,1.0,41.0
1.0,true,299000,234.0,-1.0,-1.0,562,1.0,41.0
1.0,true,296900,222.0,-1.0,-1.0,560,1.0,41.0
1.0,true,341400,287.0,-1.0,-1.0,622,1.0,41.0
1.0,true,238800,263.0,-1.0,-1.0,441,1.0,41.0
1.0,true,213500,212.0,-1.0,-1.0,402,1.0,41.0
1.0,true,177400,232.0,-1.0,-1.0,335,1.0,41.0
1.0,true,220300,226.0,-1.0,-1.0,281,1.0,41.0
1.0,true,197600,217.0,-1.0,-1.0,320,1.0,41.0
1.0,true,183600,229.0,-1.0,-1.0,359,1.0,41.0
1.0,true,152300,231.0,-1.0,-1.0,281,1.0,41.0
2.0,true,515400,267.0,-1.0,-1.0,1005,1.0,41.0
2.0,true,530800,312.0,-1.0,-1.0,1055,1.0,41.0
2.0,true,161700,238.0,-1.0,-1.0,298,1.0,41.0
2.0,true,472000,292.0,-1.0,-1.0,962,1.0,41.0
2.0,true,129700,230.0,-1.0,-1.0,240,1.0,41.0
2.0,true,364600,258.0,-1.0,-1.0,722,1.0,41.0
2.0,true,358600,334.0,-1.0,-1.0,809,1.0,41.0
2.0,true,453400,274.0,-1.0,-1.0,761,1.0,41.0
2.0,true,375400,287.0,-1.0,-1.0,845,1.0,41.0
2.0,true,670800,430.0,-1.0,-1.0,1382,1.0,41.0
2.0,true,795000,347.0,-1.0,-1.0,1416,1.0,41.0
2.0,true,485600,334.0,-1.0,-1.0,748,1.0,41.0
2.0,true,288700,216.0,-1.0,-1.0,320,1.0,41.0
2.0,true,430700,268.0,-1.0,-1.0,642,1.0,41.0
2.0,true,561200,318.0,-1.0,-1.0,839,1.0,41.0
2.0,true,383900,286.0,-1.0,-1.0,642,1.0,41.0
2.0,true,374200,259.0,-1.0,-1.0,562,1.0,41.0
2.0,true,153500,259.0,-1.0,-1.0,285,1.0,41.0
2.0,true,124800,200.0,-1.0,-1.0,201,1.0,41.0
