Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,165700,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,140500,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,115300,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,106700,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,106200,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,106100,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,105400,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,108900,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,254200,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,202900,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,147900,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,143200,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,137900,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,125000,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,133600,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,121100,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,153000,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,153400,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,132000,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,117800,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,238900,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,139700,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,103800,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,121800,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,113700,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,115000,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,173800,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,115000,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,124700,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,167500,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,260700,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,183200,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,154400,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,115300,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,105800,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,110100,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,102500,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,116400,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,120800,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,102900,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,118100,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,101200,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,128400,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,101900,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,148000,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,113200,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,103000,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,102500,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,120700,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,101000,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,113800,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,101800,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,127700,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,103600,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,139700,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,190800,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,179700,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,212700,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,216900,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,195000,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,112600,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,137000,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,109400,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,129700,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,120400,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,139500,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,142600,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,113200,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,146100,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,112600,200.0,-1.0,-1.0,201,1.0,46.0
0.0,true,134500,200.0,-1.0,-1.0,201,1.0,46.0
