Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
0.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,455,1.0,0.0
1.0,true,-1,204.0,200.0,-1.0,619,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,303,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,210,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,316,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,245,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,410,1.0,0.0
1.0,true,-1,204.0,200.0,-1.0,653,1.0,0.0
1.0,true,-1,208.0,200.0,-1.0,964,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,404,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,362,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
1.0,true,-1,204.0,202.0,-1.0,219,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,684,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,271,1.0,0.0
1.0,true,-1,204.0,200.0,-1.0,377,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,549,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,793,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,675,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,223,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,609,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,565,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,460,1.0,0.0
1.0,true,-1,204.0,200.0,-1.0,370,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,275,1.0,0.0
1.0,true,-1,204.0,200.0,-1.0,353,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,211,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,243,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,490,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,523,1.0,0.0
1.0,true,-1,206.0,202.0,-1.0,402,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,268,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,248,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,373,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,233,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,390,1.0,0.0
1.0,true,-1,204.0,202.0,-1.0,476,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,591,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,506,1.0,0.0
1.0,true,-1,206.0,200.0,-1.0,415,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,329,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,462,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,287,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,400,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,421,1.0,0.0
1.0,true,-1,204.0,200.0,-1.0,764,1.0,0.0
1.0,true,-1,204.0,200.0,-1.0,600,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,539,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,257,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,240,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,284,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,713,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,475,1.0,0.0
1.0,true,-1,204.0,202.0,-1.0,696,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,289,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,210,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
1.0,true,-1,204.0,204.0,-1.0,441,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,233,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,588,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,243,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,342,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,539,1.0,0.0
1.0,true,-1,204.0,200.0,-1.0,456,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,437,1.0,0.0
1.0,true,-1,202.0,200.0,-1.0,713,1.0,0.0
1.0,true,-1,204.0,200.0,-1.0,439,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,395,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,468,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,393,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,201,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,564,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,251,1.0,0.0
1.0,true,-1,202.0,202.0,-1.0,548,1.0,0.0
1.0,true,-1,200.0,200.0,-1.0,400,1.0,0.0
1.0,true,-1,204.0,202.0,-1.0,242,1.0,0.0
1.0,true,-1,210.0,202.0,-1.0,948,1.0,0.0
