Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
15.0,true,2305200,248.0,-1.0,-1.0,3725,1.0,0.0
15.0,true,2135600,248.0,-1.0,-1.0,3725,1.2,0.0
15.0,true,1576500,248.0,-1.0,-1.0,3725,1.4,0.0
15.0,true,1608200,248.0,-1.0,-1.0,3725,1.6,0.0
15.0,true,1510900,248.0,-1.0,-1.0,3725,1.8,0.0
15.0,true,1590600,248.0,-1.0,-1.0,3725,2.0,0.0
15.0,true,1643200,248.0,-1.0,-1.0,3725,2.2,0.0
15.0,true,1525100,248.0,-1.0,-1.0,3725,2.4000000000000004,0.0
15.0,true,1882800,248.0,-1.0,-1.0,3725,2.6,0.0
15.0,true,1847400,248.0,-1.0,-1.0,3725,2.8,0.0
15.0,true,1560800,248.0,-1.0,-1.0,3726,3.0,0.0
15.0,true,1745800,248.0,-1.0,-1.0,3726,3.2,0.0
15.0,true,1523000,248.0,-1.0,-1.0,3726,3.4000000000000004,0.0
15.0,true,1429000,248.0,-1.0,-1.0,3726,3.6,0.0
15.0,true,1367300,248.0,-1.0,-1.0,3726,3.8000000000000003,0.0
15.0,true,1642600,248.0,-1.0,-1.0,3726,4.0,0.0
15.0,true,2150800,248.0,-1.0,-1.0,3726,4.2,0.0
15.0,true,1831100,248.0,-1.0,-1.0,3726,4.4,0.0
15.0,true,1933800,248.0,-1.0,-1.0,3726,4.6,0.0
15.0,true,1386300,248.0,-1.0,-1.0,3726,4.800000000000001,0.0
15.0,true,1574200,248.0,-1.0,-1.0,3726,5.0,0.0
15.0,true,1468500,248.0,-1.0,-1.0,3726,5.2,0.0
15.0,true,1503900,248.0,-1.0,-1.0,3726,5.4,0.0
15.0,true,2103100,248.0,-1.0,-1.0,3726,5.6000000000000005,0.0
15.0,true,1551400,248.0,-1.0,-1.0,3726,5.800000000000001,0.0
15.0,true,1495900,248.0,-1.0,-1.0,3726,6.0,0.0
15.0,true,1516400,248.0,-1.0,-1.0,3726,6.2,0.0
15.0,true,1876200,248.0,-1.0,-1.0,3726,6.4,0.0
15.0,true,2319900,248.0,-1.0,-1.0,3726,6.6000000000000005,0.0
15.0,true,1457300,248.0,-1.0,-1.0,3726,6.800000000000001,0.0
15.0,true,2295300,248.0,-1.0,-1.0,3726,7.0,0.0
15.0,true,1584200,248.0,-1.0,-1.0,3726,7.2,0.0
15.0,true,1492200,248.0,-1.0,-1.0,3726,7.4,0.0
15.0,true,1630500,248.0,-1.0,-1.0,3726,7.6000000000000005,0.0
15.0,true,1522600,248.0,-1.0,-1.0,3726,7.800000000000001,0.0
15.0,true,1465500,248.0,-1.0,-1.0,3726,8.0,0.0
15.0,true,1413500,248.0,-1.0,-1.0,3726,8.2,0.0
15.0,true,1836000,248.0,-1.0,-1.0,3726,8.4,0.0
15.0,true,1752500,248.0,-1.0,-1.0,3726,8.600000000000001,0.0
15.0,true,1606900,248.0,-1.0,-1.0,3726,8.8,0.0
15.0,true,1647000,248.0,-1.0,-1.0,3726,9.0,0.0
15.0,true,2083800,248.0,-1.0,-1.0,3726,9.200000000000001,0.0
15.0,true,2283600,248.0,-1.0,-1.0,3726,9.4,0.0
15.0,true,2481500,248.0,-1.0,-1.0,3726,9.6,0.0
15.0,true,2542300,248.0,-1.0,-1.0,3726,9.8,0.0
15.0,true,2414200,248.0,-1.0,-1.0,3726,10.0,0.0
15.0,true,2343400,240.0,-1.0,-1.0,3300,1.0,0.0
15.0,true,1727300,240.0,-1.0,-1.0,3300,1.2,0.0
15.0,true,1665900,240.0,-1.0,-1.0,3300,1.4,0.0
15.0,true,1650800,240.0,-1.0,-1.0,3300,1.6,0.0
15.0,true,1745900,240.0,-1.0,-1.0,3300,1.8,0.0
15.0,true,1630500,240.0,-1.0,-1.0,3300,2.0,0.0
15.0,true,1638400,240.0,-1.0,-1.0,3300,2.2,0.0
15.0,true,1634800,240.0,-1.0,-1.0,3300,2.4000000000000004,0.0
15.0,true,1432900,240.0,-1.0,-1.0,3300,2.6,0.0
15.0,true,1378400,240.0,-1.0,-1.0,3300,2.8,0.0
15.0,true,2216900,240.0,-1.0,-1.0,3301,3.0,0.0
15.0,true,2321200,240.0,-1.0,-1.0,3301,3.2,0.0
15.0,true,1802000,240.0,-1.0,-1.0,3301,3.4000000000000004,0.0
15.0,true,1365200,240.0,-1.0,-1.0,3301,3.6,0.0
15.0,true,1419100,240.0,-1.0,-1.0,3301,3.8000000000000003,0.0
