Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
25.0,true,2511267,200.0,-1.0,-1.0,492,1.0,0.0
25.0,true,1139470,204.0,-1.0,-1.0,325,1.2,0.0
25.0,true,791034,206.0,-1.0,-1.0,289,1.4,0.0
25.0,true,448244,206.0,-1.0,-1.0,294,1.6,0.0
25.0,true,338402,220.0,-1.0,-1.0,304,1.8,0.0
25.0,true,395545,222.0,-1.0,-1.0,306,2.0,0.0
25.0,true,435389,222.0,-1.0,-1.0,306,2.2,0.0
25.0,true,320963,224.0,-1.0,-1.0,300,2.4000000000000004,0.0
25.0,true,448808,224.0,-1.0,-1.0,300,2.6,0.0
25.0,true,427330,224.0,-1.0,-1.0,300,2.8,0.0
25.0,true,273490,224.0,-1.0,-1.0,280,3.0,0.0
25.0,true,254168,224.0,-1.0,-1.0,280,3.2,0.0
25.0,true,266377,224.0,-1.0,-1.0,280,3.4000000000000004,0.0
25.0,true,388837,224.0,-1.0,-1.0,280,3.6,0.0
25.0,true,265403,224.0,-1.0,-1.0,280,3.8000000000000003,0.0
25.0,true,412365,224.0,-1.0,-1.0,280,4.0,0.0
25.0,true,381786,224.0,-1.0,-1.0,280,4.2,0.0
25.0,true,248318,224.0,-1.0,-1.0,280,4.4,0.0
25.0,true,387689,224.0,-1.0,-1.0,280,4.6,0.0
25.0,true,404761,224.0,-1.0,-1.0,280,4.800000000000001,0.0
25.0,true,357935,226.0,-1.0,-1.0,276,5.0,0.0
25.0,true,469099,226.0,-1.0,-1.0,276,5.2,0.0
25.0,true,214772,226.0,-1.0,-1.0,276,5.4,0.0
25.0,true,317066,226.0,-1.0,-1.0,276,5.6000000000000005,0.0
25.0,true,316816,226.0,-1.0,-1.0,276,5.800000000000001,0.0
25.0,true,206822,226.0,-1.0,-1.0,276,6.0,0.0
25.0,true,356853,226.0,-1.0,-1.0,276,6.2,0.0
25.0,true,213066,226.0,-1.0,-1.0,276,6.4,0.0
25.0,true,349852,226.0,-1.0,-1.0,276,6.6000000000000005,0.0
25.0,true,212652,226.0,-1.0,-1.0,276,6.800000000000001,0.0
25.0,true,210492,226.0,-1.0,-1.0,275,7.0,0.0
25.0,true,203519,226.0,-1.0,-1.0,275,7.2,0.0
25.0,true,205611,226.0,-1.0,-1.0,275,7.4,0.0
25.0,true,225277,226.0,-1.0,-1.0,275,7.6000000000000005,0.0
25.0,true,218872,226.0,-1.0,-1.0,275,7.800000000000001,0.0
25.0,true,238998,226.0,-1.0,-1.0,275,8.0,0.0
25.0,true,203614,226.0,-1.0,-1.0,275,8.2,0.0
25.0,true,199876,226.0,-1.0,-1.0,275,8.4,0.0
25.0,true,362135,226.0,-1.0,-1.0,275,8.600000000000001,0.0
25.0,true,202649,226.0,-1.0,-1.0,275,8.8,0.0
